"treatment","feel1","feel2","feel3","feel4"
"Same-Sex Marriage Script by Gay Canvasser",57,53,53,58
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,100
"Recycling Script by Straight Canvasser",66,71,60,NA
"Recycling Script by Straight Canvasser",57,60,NA,52
"Recycling Script by Straight Canvasser",97,96,94,94
"Recycling Script by Straight Canvasser",57,58,71,53
"Recycling Script by Gay Canvasser",90,94,82,100
"Same-Sex Marriage Script by Straight Canvasser",52,38,49,52
"No Contact",31,34,31,25
"Same-Sex Marriage Script by Straight Canvasser",73,73,79,79
"Recycling Script by Straight Canvasser",62,55,62,60
"Same-Sex Marriage Script by Straight Canvasser",86,83,83,91
"Same-Sex Marriage Script by Straight Canvasser",53,59,55,70
"Recycling Script by Gay Canvasser",89,97,93,85
"Recycling Script by Gay Canvasser",62,63,61,66
"Recycling Script by Gay Canvasser",71,67,64,70
"Recycling Script by Gay Canvasser",28,28,NA,26
"Same-Sex Marriage Script by Gay Canvasser",43,38,53,46
"No Contact",21,25,26,14
"No Contact",41,44,37,50
"No Contact",71,63,NA,73
"Same-Sex Marriage Script by Gay Canvasser",5,12,7,6
"Recycling Script by Gay Canvasser",46,47,38,47
"Same-Sex Marriage Script by Gay Canvasser",64,55,69,64
"Recycling Script by Straight Canvasser",18,9,17,9
"Recycling Script by Gay Canvasser",80,77,82,75
"Recycling Script by Straight Canvasser",57,52,61,57
"No Contact",76,72,79,78
"Recycling Script by Straight Canvasser",61,63,69,70
"No Contact",77,84,72,71
"Recycling Script by Straight Canvasser",40,33,45,45
"Same-Sex Marriage Script by Gay Canvasser",100,98,94,100
"No Contact",49,49,47,54
"Recycling Script by Straight Canvasser",18,20,11,19
"Same-Sex Marriage Script by Gay Canvasser",55,60,65,52
"No Contact",50,56,NA,54
"Same-Sex Marriage Script by Straight Canvasser",71,78,80,68
"Recycling Script by Gay Canvasser",40,38,46,47
"No Contact",19,21,15,28
"Same-Sex Marriage Script by Gay Canvasser",92,93,90,82
"Same-Sex Marriage Script by Gay Canvasser",84,83,78,78
"Recycling Script by Straight Canvasser",40,42,45,39
"Same-Sex Marriage Script by Straight Canvasser",47,43,41,49
"No Contact",61,63,55,64
"Same-Sex Marriage Script by Gay Canvasser",71,73,71,59
"Recycling Script by Gay Canvasser",87,90,87,86
"Recycling Script by Straight Canvasser",56,60,56,55
"Same-Sex Marriage Script by Gay Canvasser",17,14,10,13
"Same-Sex Marriage Script by Gay Canvasser",70,74,65,NA
"Recycling Script by Straight Canvasser",76,79,74,83
"No Contact",69,68,NA,68
"Same-Sex Marriage Script by Straight Canvasser",57,52,54,59
"No Contact",48,51,49,55
"No Contact",39,36,32,42
"Recycling Script by Gay Canvasser",49,49,43,41
"Recycling Script by Gay Canvasser",14,10,24,13
"No Contact",66,73,67,78
"Same-Sex Marriage Script by Gay Canvasser",3,6,11,11
"No Contact",62,72,55,60
"Recycling Script by Straight Canvasser",100,100,88,100
"Same-Sex Marriage Script by Straight Canvasser",33,36,38,30
"Same-Sex Marriage Script by Straight Canvasser",76,76,80,80
"Same-Sex Marriage Script by Gay Canvasser",100,96,97,100
"Same-Sex Marriage Script by Straight Canvasser",100,97,100,100
"Recycling Script by Gay Canvasser",100,98,94,81
"Same-Sex Marriage Script by Gay Canvasser",66,63,60,72
"Recycling Script by Straight Canvasser",95,93,97,90
"Same-Sex Marriage Script by Straight Canvasser",49,54,NA,37
"No Contact",64,75,62,62
"No Contact",60,59,64,57
"Same-Sex Marriage Script by Gay Canvasser",58,56,65,71
"No Contact",43,46,41,52
"No Contact",65,68,59,78
"Recycling Script by Gay Canvasser",45,54,28,41
"Recycling Script by Straight Canvasser",38,37,42,26
"Same-Sex Marriage Script by Straight Canvasser",77,74,84,79
"Recycling Script by Straight Canvasser",61,63,69,68
"No Contact",61,67,60,51
"Recycling Script by Straight Canvasser",48,51,52,48
"Recycling Script by Gay Canvasser",9,4,7,13
"Same-Sex Marriage Script by Straight Canvasser",41,40,48,44
"No Contact",30,34,32,29
"No Contact",81,89,79,80
"Recycling Script by Gay Canvasser",100,100,100,100
"No Contact",28,28,28,29
"Recycling Script by Gay Canvasser",67,71,69,NA
"Recycling Script by Straight Canvasser",69,64,63,74
"Same-Sex Marriage Script by Gay Canvasser",87,91,77,86
"Same-Sex Marriage Script by Gay Canvasser",3,2,14,0
"Recycling Script by Straight Canvasser",43,48,40,44
"No Contact",97,100,100,93
"Same-Sex Marriage Script by Gay Canvasser",77,73,84,87
"Recycling Script by Straight Canvasser",58,56,NA,57
"Same-Sex Marriage Script by Straight Canvasser",45,35,NA,45
"Same-Sex Marriage Script by Straight Canvasser",44,45,57,38
"Recycling Script by Gay Canvasser",36,48,33,31
"No Contact",60,67,NA,NA
"Recycling Script by Straight Canvasser",66,68,63,61
"No Contact",17,13,NA,21
"No Contact",76,71,NA,75
"No Contact",69,68,65,57
"Recycling Script by Straight Canvasser",73,71,70,56
"No Contact",16,13,9,13
"Same-Sex Marriage Script by Gay Canvasser",44,54,NA,45
"Same-Sex Marriage Script by Gay Canvasser",25,20,24,37
"Recycling Script by Gay Canvasser",48,49,49,42
"Recycling Script by Straight Canvasser",68,65,62,65
"Same-Sex Marriage Script by Gay Canvasser",29,31,31,30
"Same-Sex Marriage Script by Gay Canvasser",97,94,100,100
"Same-Sex Marriage Script by Straight Canvasser",73,72,79,72
"Recycling Script by Gay Canvasser",0,3,0,0
"Same-Sex Marriage Script by Straight Canvasser",18,12,29,16
"Recycling Script by Gay Canvasser",95,98,100,98
"Same-Sex Marriage Script by Gay Canvasser",50,49,59,50
"Same-Sex Marriage Script by Gay Canvasser",59,62,57,65
"No Contact",36,39,37,49
"Recycling Script by Gay Canvasser",14,23,15,22
"Same-Sex Marriage Script by Straight Canvasser",48,43,57,47
"Recycling Script by Gay Canvasser",74,71,80,73
"Recycling Script by Straight Canvasser",69,79,62,63
"No Contact",32,27,34,18
"Same-Sex Marriage Script by Straight Canvasser",85,84,85,93
"Recycling Script by Straight Canvasser",52,58,55,44
"Recycling Script by Gay Canvasser",60,60,59,62
"Same-Sex Marriage Script by Straight Canvasser",56,54,59,65
"Recycling Script by Straight Canvasser",14,13,16,10
"Recycling Script by Straight Canvasser",15,14,16,11
"Same-Sex Marriage Script by Straight Canvasser",54,56,54,63
"Recycling Script by Straight Canvasser",54,52,57,68
"No Contact",50,50,47,57
"No Contact",7,7,11,5
"Recycling Script by Gay Canvasser",100,97,100,93
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,97
"No Contact",100,94,100,92
"Recycling Script by Gay Canvasser",100,98,99,100
"Same-Sex Marriage Script by Straight Canvasser",66,70,64,62
"Same-Sex Marriage Script by Straight Canvasser",68,71,65,75
"Same-Sex Marriage Script by Straight Canvasser",24,31,29,20
"No Contact",7,5,8,6
"No Contact",100,99,100,100
"Recycling Script by Straight Canvasser",45,48,44,44
"Recycling Script by Gay Canvasser",36,37,33,34
"Recycling Script by Gay Canvasser",63,55,62,NA
"Recycling Script by Straight Canvasser",3,0,13,7
"No Contact",39,29,36,48
"Recycling Script by Straight Canvasser",44,42,35,54
"Recycling Script by Gay Canvasser",41,40,34,29
"Recycling Script by Straight Canvasser",16,4,8,14
"Same-Sex Marriage Script by Gay Canvasser",32,32,31,30
"No Contact",60,51,72,71
"Recycling Script by Straight Canvasser",46,35,52,42
"Same-Sex Marriage Script by Gay Canvasser",57,61,54,64
"Same-Sex Marriage Script by Straight Canvasser",85,81,95,82
"No Contact",39,39,27,45
"Recycling Script by Straight Canvasser",81,86,72,83
"Same-Sex Marriage Script by Straight Canvasser",51,58,61,56
"Recycling Script by Straight Canvasser",0,0,3,0
"Same-Sex Marriage Script by Gay Canvasser",24,21,29,20
"Recycling Script by Straight Canvasser",79,83,75,82
"No Contact",72,76,73,76
"Recycling Script by Straight Canvasser",74,77,74,70
"Recycling Script by Straight Canvasser",81,82,81,80
"Recycling Script by Gay Canvasser",24,23,NA,30
"Same-Sex Marriage Script by Gay Canvasser",60,56,NA,64
"Recycling Script by Gay Canvasser",70,70,NA,68
"No Contact",21,9,23,23
"Same-Sex Marriage Script by Straight Canvasser",70,73,65,65
"Recycling Script by Straight Canvasser",100,100,100,100
"Same-Sex Marriage Script by Straight Canvasser",15,17,9,23
"Same-Sex Marriage Script by Gay Canvasser",68,66,61,69
"Same-Sex Marriage Script by Straight Canvasser",28,37,33,28
"Same-Sex Marriage Script by Straight Canvasser",52,51,61,50
"Recycling Script by Straight Canvasser",54,59,64,62
"Recycling Script by Gay Canvasser",61,56,62,64
"Recycling Script by Straight Canvasser",100,98,100,98
"Same-Sex Marriage Script by Gay Canvasser",25,24,NA,23
"Same-Sex Marriage Script by Straight Canvasser",65,64,57,59
"Same-Sex Marriage Script by Gay Canvasser",22,25,22,16
"Recycling Script by Gay Canvasser",82,77,83,87
"Recycling Script by Straight Canvasser",29,29,21,25
"Recycling Script by Gay Canvasser",57,50,61,67
"Same-Sex Marriage Script by Gay Canvasser",61,58,55,57
"Recycling Script by Straight Canvasser",37,34,32,34
"Same-Sex Marriage Script by Straight Canvasser",71,81,69,68
"Same-Sex Marriage Script by Straight Canvasser",77,81,82,84
"Recycling Script by Gay Canvasser",100,90,91,98
"Same-Sex Marriage Script by Straight Canvasser",31,36,30,33
"Recycling Script by Gay Canvasser",100,100,94,94
"Recycling Script by Gay Canvasser",49,47,51,48
"No Contact",31,31,21,39
"Recycling Script by Gay Canvasser",44,45,NA,36
"Recycling Script by Gay Canvasser",24,28,19,22
"Recycling Script by Gay Canvasser",72,81,78,72
"Same-Sex Marriage Script by Gay Canvasser",49,43,39,56
"Recycling Script by Straight Canvasser",69,66,70,66
"Recycling Script by Gay Canvasser",28,33,33,32
"Recycling Script by Gay Canvasser",69,73,72,NA
"No Contact",13,5,21,13
"No Contact",20,28,25,16
"No Contact",64,60,59,53
"Same-Sex Marriage Script by Straight Canvasser",51,61,51,48
"No Contact",46,44,36,41
"Recycling Script by Straight Canvasser",37,33,39,48
"Recycling Script by Straight Canvasser",25,25,18,18
"No Contact",89,86,85,NA
"Same-Sex Marriage Script by Gay Canvasser",79,79,76,65
"Same-Sex Marriage Script by Straight Canvasser",83,92,87,74
"Recycling Script by Straight Canvasser",19,17,23,6
"Same-Sex Marriage Script by Gay Canvasser",51,54,53,59
"No Contact",91,81,86,98
"Same-Sex Marriage Script by Gay Canvasser",18,14,11,14
"Recycling Script by Gay Canvasser",73,72,56,NA
"Recycling Script by Straight Canvasser",100,100,100,100
"Same-Sex Marriage Script by Gay Canvasser",46,44,42,41
"Same-Sex Marriage Script by Gay Canvasser",85,85,76,81
"Same-Sex Marriage Script by Gay Canvasser",52,50,50,73
